tittle,plot,genre
green snake,overzealous named trained solely banish due spiritual seeking human trained able throws underneathe later seen meditating apparently haunted human punished spiritually eventually releases takes goes noticed preventing hitting giving also releases haunted human primarily female white later seen green naked white snake local hsing kuo training many take human supposedly available white experienced get engaged complete green younger impulsive yet quite convinced human magically created start successful medical gets unexpectedly buffoonish green take white beautiful known dedicated starting lose heavy ravaged white green vanquish helped fat remembered gone white green medical greatly respected however slowly green starting envy white beginning yearn human often using hsui caught multiple white usually shrugs teaching spontaneously comes back see white instead large reptilian becomes symbolic related festical white green takes seemed hallucinating white green leave special consumed green true due green rebelling leave white festival white obviously scared drink special together hsui instead secretly dumps green white able seeing green true interrupted white disposed hasily go kwun obtain guarded green fat immediately follows obtaining white green quickly defeated go decided letting green loses green quickly makes white green white white leaving green assume older inferior get white hsui gets white triumphed green pregnant anymore goes find fat given protect evil instead tossed leave see fat goes magically created forcefully takes hsui human mixed religious styled situated hsui becoming monk white appears begged refused green white let go lost attempting fat entire failed fat able overcome white suddenly goes ran amok destroying revealed human thereby allowing green retrieve white snake white however struggling keep white huge able hsui complete multiple calling white green fat punish instead acknowledges led mainly fellow questioning supposed know green fat alone,fantasy
the legend of zu,peacekeeping living mythical called situated called destroy various dawn sends away believes emotional gives train attained higher found find insomnia later omei white coming red red white legendary omei top resembles white capable draining red narrowly white save absorbing white red regroup white guardian new unfortunately rebounds causing hollow die seriously injured white king new find destroy leaving renamed ying reborn desperate however ying rather king take mourns charred red possessed standing omei enigma amnesia omei yet reawaken however thunder ying suddenly recalls past concurrently king intercept receive new found white new ying omei confronting possessed ying omei stop final red latter ying successfully fuse form new joins weaken escaping giving king destroy destroyed king happy find disappearing reincarnated new immortal restored king,fantasy
magic to win,consists also revolves portraying sengui wizardry magic daily remains secret transmitted recklessly uses newfound personal ling feng amnesiac slowly begins realize magic meanwhile magician capture elemental open save perished ling magician finally eventually opens,fantasy
"si agimat, si enteng, at si ako",bong married defeated barbaric decided live alongside meanwhile ako environmental including looking arrive enslaving barbarian defeated turning trying much,fantasy
kung fu divas,yet win final literally seaside taken make sure dashed mysterious marian suddenly joins become bitter following soon forced turns hidden mystical together discover,fantasy
deepa & rupa: a fairy tale from india,deepa different selfish personified forcing go old encounter magical including banyan needing ultimately different teaching well,fantasy
tasher desh,lands fascist revolt psychedelic social utopian,fantasy
obhishopto nighty,cursed logical magically original experienced unfulfilled ultimately led comes become successful seducing take later,fantasy
nirbaak,schizophrenic suffering multiple speaks less daily writes deceased played spends caring going alone studying titled make unforgettable sitting comes sushmita also regular inaudible gives love later anjan goes birthday cake alone eating spreading actually seating imaginary live shown returned whole affectionate masturbating believing next slips shown severely injuring taken lives much want leave actually visited regular shown smooching rolled believe sitting actually watching asleep shown make platonic ejaculating small talking leave boyfriend propose tree indirectly shown sushmita sometimes beautiful dominant leave shown broken scattered next comes jisshu flat unnamed given warm actually thinks stealing precious gone sushmita returning bingi later sushmita leave driving tried flee causing goes unscathed dead dead obsessed taken come tell leave dead possibly sushmita particularly clarified implied wanting necrophilia mercilessly beat shown beaten close dead showed smiling showing dead taken depicting dead,fantasy
alibaba,rich slave alibaba cave rich knowing goes get forgotten find kill alibaba back burial finds follows outsmarting comes visiting,fantasy
devta,narrated loses nagi found sarpaloka young ganesan working undertakes hazardous going getting magic attracted young get succeeds getting queen become ugly banished live soon born devoted faces many regain original live happily thereafter,fantasy
hatim tai,dispensing hearted shehzada young rich husn cursed gets married due unwelcome finishing human touched tried get wise written finding lifted gulnar normal undertake agrees hatim tai nazroo coming undersea able first go several similar helps hatim pari gives however wait complete finally answered several normal gives also get married,fantasy
suvarna sundari,folklore loving human anr gets ousted suvarna comes earth love comes know suvarna jayanth loses reunite,fantasy
daughter of sindbad,returning vanished presumed lost set reached ran torturing,fantasy
parasmani,played lost found poor grows accomplished played soon sing pleased wish enraged punish appearing defeated seek called soon last find saved marry hypothetical considered keep young forever paras agrees paras various directed eastman fighting various magical volcanic falls taking real old paras killing soon old also meets fly back crucial married,fantasy
char dervesh,praying wish happen fourth arrives white appears fourth seeking feroz free getting innocent basically covetous beautiful falls however caught whipped travelling underwater turned imprisoned evil turns wants imprisoned however qamar fails fulfill ratnamala gets angry qamar black thus meets comes know actual reversed decide marry several follow flying finally marry,fantasy
jal mahal,beautiful namrita falls pull away goes find already married rajesh destroyed attempting suicide run,fantasy
bhago bhut aaya,tina get miss somehow reach haveli shown haunted initially rai considered rich attracted knowing used somehow get killed went found looks mrs mr similar showing various freaky succeed pyarelal start loving also find real first create later call,fantasy
pataal bhairavi,loves dynamic become equal give supernatural wants obtain powerful appear present acquire requires dynamic take present comes know helping marrying take actual obtain comes know obtains rich equal meanwhile becomes alive stolen indu obtains husair finally ramu becomes ujjaini gives want misused,fantasy
nagina,comes wealthy owning lives married beautiful young named singh however rajni marry rajni give favourable arranged bhairo nath capable controlling rajiv shifting venomous married remove forcing however comes caught sacred rajni hidden however rajiv comes bitten rajiv live happily ever,fantasy
hatim tai,born rich named hatim generous humble begins distributing poor named comes ask named want get married marry long shocked realizes go mariam tells occurred get married sleeping luxurious named enchanted beautiful seeing aroused cursed slowly begins turning save gives die begins turning leaves else answer answered get rid ends shows nazrul beautiful seek warns extremely difficult distant dangerous seeking slowly start solving answered comes back seeking comes looks exactly like gulnar pari fall nazrul completing succeed completing difficult comes back lifted well hatim preparing,fantasy
ajooba,ruled well sultan seemingly evil worshipping vazir amrish usurp revive huge made take strangle born finally however presented literally descends newborn administered eventually becomes ajooba kick good recently returned e sultan pillar verifying rather soon privately discusses eventually ameer murder take pitched involving magic missing blinded young washed ashore dolphin eventually thinks worldly martial thus ajooba sultan takes ravaging always uttering slogan shaitan long live masked black rather thwarts ordinary together foil falls dimple actually returned imprisoned hasan sonam constant eventually raises special resulting brings central together several essentially resolved ensuing magical full enchanted final true,fantasy
jaani dushman: ek anokhi kahani,younger looks young shetty arshad warsi nita priti named rajesh sexually molest thrashing apologizing decide soon leaves abroad divya past later learns kohli magical previous shattered angry amrish cursed called previous however left torn inviting male coming abandoned sexually molest arrive thinking involved completely unaware innocent comes back get killed killed followed run electrocuted also try explaining however refuses believe therefore principal gives harmed wearing believe however attacked realizes survived stuck however later badly injured goes prem ashok thus accused sentenced hanged pushed next big arrives rescue vivek using arrested stabbing comes save atul gets stabbed trying vivek atul unable goes gave save due stop killing gets killed principal granting supernatural,fantasy
aabra ka daabra,middle magician locked thrown believes dead leaving become shivani pinky sindhi enrolled aabra founded magician enormous,fantasy
gayab,unappreciated nags neighbour already sees goes get mohini vishnu shy nervous accidentally hitting vishnu depressed goes angry given make disappear reaches took wish literally turned invisible excited happy gets many get realises wear wearing received turned invisible worried also nagging calms invisible teach gets scared late needs impress brings shocked terrified vishnu leave alone heartbroken gets drunk makes incredible done invisible takes invisible leave comes looking unable go bring else also threatens comically disturbing help find kill invisible whole goes abandoned demanded involving surround wrong along always loved realised loving struck bad save run away already runs shoot later vishnu visible found presumed dead later sameer find supposedly drowned wrong normal arrested faces guilty short later released many later vishnu recognised helped solve several still leading invisible normal,fantasy
taarzan: the wonder car,deven chaudhary sheth deven considerable designing perfect calling futuristic advanced said well making also looks older handed late rakesh dealing want give later deven conned registered deven latter kapoor sharma pushed causing gagged deven die deven bring alone later raj rich named young amrish mechanic recognizes immediately somehow buys wants update little know also brought trapped moved learning repairing totally revamped dc deven killing responsible including becomes grover investigating learning died revealed goes meet learning deven assumes somehow found using priya kill take back shocked taarzan comes alive disbelieving save deven visible terrified says last united deven free heaven living happy,fantasy
aladin,archeologist arun attacked searching found hidden somewhere arun murdered raised grown lives fictional lonely kasim bullied immediately falls present gives however turns magic trying find aladin desperate magic suddenly makes interesting chaotic want make finds wants getting sleeping make wish make done second wish normal third woo using make happen best really strong still stands kasim kasim looks perfect real searching shortly kidnapped really ringmaster murdered aladin leave heartbroken goes rescue alone revealed actually killed searching long found first ringmaster punished magic kill loses grant wish planned learns innocent help succeed rescuing completely revealed perform ritual approaching getting back giving instead defeating also defeated happily gets earning special gives yet,fantasy
bhoothnath returns,linked previous real mocked questioned unsuccessful india best unsuccessful strong physically mentally also skilled giving bad however named akhrot see true scared helps scare asks scared run away haunted accept help helping earn giving living high still staying back come died get scaring corrupt gets know former seen encouraged akhrot contest upcoming soon win held encourage high kill akhrot happening ready bhau grievously makes goes tell spare meanwhile bhau however public next rising regaining celebrating,fantasy
magic ajji,magic queen belonging lower disowned keep away queen comes back friendly arjun rightful old royal visible,fantasy
raja rajendra,named also dreaded named due earns alternatively neelakanta old long last come want soon possible old killed go contact send act neelakanta instead original get cured goes palace kill old instead saves old also falls shastri due find different however neelakanta takes lesson takes expelling comes investigate black become successful spirit gets released unknowingly shastri magician give gets confused kabaddi artists follows take different,fantasy
nagarahavu,transforming called naganika big saving ancient evil fighting naganika many occupy rajesh naganika dying naganika takes come back take next takes snake take nagacharan learning different previous protected precious solar made revolves save excavated becomes wanted led kale several nagacharan explains glorious connecting nagacharan diganth mythical comes gets sends,fantasy
my dear kuttichathan 3d,formed popularly known worshiped mainly south indian everywhere karimbhootham black enslaved invisible kuttichathan little english kuttichathan ashish friendly good keep much wants good make died second small also drinks drink thereby changing wants lay even burnt killed turns,fantasy
lord livingstone 7000 kandi,philipose save unknown called different came returned came know haunted shanumgan ilangovan n came ago making forest industrial next goes succeed extent aware rare want philipose saving mistaken stop succeed left intact later valid international live philipose invited fighting,fantasy
mi shivajiraje bhosale boltoy,represents lost maharashtra always complains victimized everywhere marathi little brought gets cursing born committed heinous born aroused seething furious command dinkar sorry blaming short see done keep intact dinkar realizes shivaji thought arouse rectify gladly returning,fantasy
ambuli,happening south british alerted strange coming deep strange suddenly dragged brutally killed unknown british also dragged inside killed taking amudhan alcoholic back spend mainly amudhan nearby miss currently protected big believed hunting called myth many believed exist go reach makes first successfully returns strange chased thrown yet shown vendhan happened real little convinced decide together see really happening entire find wooden british lived meet sengodan little amudhan next much angered travelled alone tell killed many still hungry human asked real revealed seen committed causing become alcoholic get rid becoming planned leave unable welling given accepted got live humbly go still accepts tell ago solar named right believed comes solar affected badly rescue gives child born exactly human human neanderthal bites left also attacks fatally locked given ambuli go committing suicide unable killing also reveals lucky harmed explained collect many fell poongavanam senior arthur practical believe ironically marudhan left bitten find senior previous due currently running make least accept take interrupted killing attempted kill take thinking get shocked revealed attempted make stop also revealed killed first caused viewed went marudhan gets curious thus secretly follows takes full small lies ahead old abandoned watches away gone understands paying ambuli next see lies ahead goes ambuli terrified started believe seemati opened find important located found find key also contains locked find old actually happened ponni born follows terrible entirely named southern also basically worked british south india longtime successfully carry finish live healthily decides use starts strong often carry affected much heading sir checked turns solar unfortunately affected big thus born checked terrified ambuli right ambuli suicide angered sengoden collected decide including hiding else die tried strong destroy good failed decided well aware discovered marudhan gather strong destroy good headed got trapped helped caputre gagged arrived find sengodan find poongavanam tied gagged revealed poongavanam go setting attempted attacked got amudhan vendhan stopped ended joining along visit comes tall looking finally shown revealed ambuli bravely also rush suddenly arrives alerted convinced exist lab old intense tranquilized taken away secured heavily critically injured survive apologized suspecting revealed wanted destroy right killing unfortunately arrested released later til asked killed kidnapped revealed also trying save finally thank capturing thus ending long final shown happen carried slowly starts moving little suddenly understood means english,fantasy
naan ee,young unable first tells named nani young preparing neighbour runs non also develops nani express seeking ngo rich powerful named also finds attractive sees nani helps bindu finish made returning kidnapped making dying last reincarnated cannot remember previous triggered sudeep heartbroken accompany new help gain national sudeep kill makes sudeep bindu mourning nani writing nani bindu join sudeep affects professional personal leaving almost c reincarnated kill nani short killing leaving sudeep unconscious dead saved enraged helping collect takes nani follows nani seriously injures sudeep needle wing fatally stabs loaded passes bindu takes makes travelling work eve needle announcing young impressed,fantasy
adhisaya ulagam,neelakantan maverick indian begins experimenting requires recognised therefore seeks transported jokingly use n neelakantan mischievous live neelakantan accidentally turns transferable neelakantan shocked late save recognised accidentally transported prehistoric extinct including several dangerous first afraid gradually try wish modern require exist prehistoric transported survive finally manage main,fantasy
pizza 2: the villa,debutant english deceased run bankrupt unlisted makes seeing framed art accompany immediately likes mysterious particularly faced painting sell jebin gets new established comes forward buy first novel maybe maybe also gets advance continues stay bring good starting second meanwhile leaving alone ecstatic victorian jammed abruptly opens secret also gets curious remarkable appears similar given secret uses secret open rolled many appear come straight predict future long prestigious literary critical depicted however gets overwhelmed unexplained sell gets injured scaring away potential bad frustrated furiously tries complete second decide secret almost instinctively secret toppling best advises renowned find negative prior manifest also finds prior similar infanticide fratricide also suggests found survive negative created destroyed transferred conduct using loose begin appear best loses legs even finds depicting getting married eventually killing assuming predicted killing aarthi harming aarthi taken legally marrying revealed aarthi true indicated dual faced liked visited hoped selling dead quickly coming however revealed assumed actually aarthi new thus understood inherited second depicting soon appear,fantasy
irandaam ulagam,unfold concurrently different unnamed timid medical academic initially refuses invalid needing full later madhu gradually reciprocates ramya seeing reluctantly rejects already arranged abruptly cancels citing suddenly dies followed paralysed depressed sudden becomes dead later local follows empty gets injured trying parallel relatively primitive immortal noble military working shetty take martial varna interested military wild also protect gatecrashing military tyrant get inexperienced never conquered gets released forced goes free commit assaulting riled depressed maravan taunted new military sacred called special planetary fainted takes amma lay try intoxicated looks begin first timid back later rewarded military new found goes forest varna goes forest gets jealous eventually return forest illegally captured abducting set forest eventually realises fallen hearing bravely wipes entire drowned saving planetary unnamed finally look alike earnestly asks single finally realises true,fantasy
naveena saraswathi sabatham,modern gives narada picked ramarajan ganesh local sathyan selfish see jayshree engaged fix reach enjoy drunk much find abandoned tropical many escape unsuccessful elapsed gives final last arrive refuses help back escapes abandoning reaching happy ending soon jayshree runs goes finally ramarajan implying american marry wishing best,fantasy
chandra,chandramathi saran falls engaged arya settled impressed promises forget allow takes dramatic happy,fantasy
maan karate,sandy sathish nikita ashwathy grant forest sceptical daily dated ayudha printed requested materialised find satyam close next make stays boxing prize astounded getting eventually finding boxing successfully manages immediately find unambitious roaming best however young participate however peter show train instead uses gang including winning much later gang named also works sponsoring even nicknamed thinking sponsoring wrong refuses reluctantly decide continue sponsoring currently sponsoring soon win preliminary using nimble agile hit stronger experienced eventually causing inadvertently get disqualified knocked give english soon becomes known distinguish internet overnight winning due rising raised expected feel come true sponsoring eventually peter final becomes upset fearing killed revealing avoid fighting final various successful last convince throw verbally abused physically assaulted meted begins train hard final defeating meanwhile unknown defect offered ravi nikita final takes immediately upper pummelling heavy however peter daunted continues put severely weakened soon knocked teary convince call fight back eventually knocking causing major upset dedicates prize astounded oblivious also publicly sobbing relieved survived materialised torn nikita left forest several lifting,fantasy
ra,died mysteriously first started went ask see hypnotised traveled tried go mysterious red came explained done said red protected deadly entered red big soon destroyed later panoramal observed,fantasy
puli,adopted tribal young regularly committed neighbouring called supernatural starts protect well respected soon kidnapped also kill vembunathan close thambi begin noticed jalatharangan sudeep also allows soon marudheeran fighting later marudheeran late younger stood used terrorise killed also finds actually evil magical due evil magical developed magical well tyrannical yearly kanya boost magical eighteenth consecutive planned avenging opens ring releasing evil magical returned normal magical destroyed performing bitter destroy thus restoring normal releasing evil magical makes,fantasy
baahubali: the conclusion,continues ended killing vanquishing declared bhallaladeva amarendra tour devasena neighbouring falling accepted royal amarendra viewing amarendra bhallaladeva emissary patronising insulted scathing enraged hearing amarendra brought captive attacked pindaris devasena able save questioned true receives ordering take protect come reaching delivered choose latter crowned king made new shower bhallaladeva due amarendra banished living happily bijjaladeva kill safeguard discovered killed revealing convinced open civil serve queen feigning stabs soon sivagami panicked dead ascended flees new hit holds devasena next grows leads indulged listening whole avenge raising ensuing defeated prepared ending becomes new queen bringing,fantasy
maragadha naanayam,nearly ago king possessed huge got going severe treasured else obsessed much died buried eventually retrieved changed several goes ever touched died unnatural owned safely hid leaving checking killed present small local pursued sees never watching get sengutuvan engaged stay away hear say leave later sengutuvan see married seems unhappy verbally physically abused public comes looking acquire local rs afraid routine caught pursuing taken senior small go bigger disappointed big however motivated pursue find later joined local unconvinced priest killed revealed sengutuvan going need seek ilango complete ritual killed appear interrupted died attend funeral find buried standing turned burial fell dead possessed appeared summoned want back summoned finish terrible happen need bring need find tell going die gather first old died second decapitated freak third ilango successfully bring new staying old borrowed following initial interrogate posing powerful local recover turns previously rejected pursuing realizing recovered continues together find made dying gives ordered fake local also kidnap get tell rounded taken eventually manage find original cursed chinese pursued mysterious killed chinese killed elude initially recover full return lift pursued taking elude get sengutuvan explaining makes take sengutuvan therefore released completed allows listen also buried see twinkle panicked scared got mysterious killed recovered pursuing,fantasy
yamagola,interferes ex executing married rudrayya gets satyam killed professional immediately goes heaven heaven indra enjoying angered satyam straight headed ably assisted using communist yama back earth funny rudrayya,fantasy
jaganmohini,previous went forest gets attracted selling lady enjoys forest promising make lustful betrayed suicide oathing get next next goes drink appears parallelly married pious praying believes strongly helped snake jagan last gets goes heaven,fantasy
devi putrudu,explaining huge ahead starts petty foreign returned comes know married archaeological visit comes go dwaraka hired valuable supposed carried come back bombay makes goes dwaraka gets chased eating escaping cute little called mystical fallen tell sathya saved find missing spooky sister suddenly paapa cute little met appears believes called married karuna gets pregnant used adjoining huge believes strange unremitting frustrated comes back huge embossed mystical balaram realizes ordinary mysterious put want allow karuna asking give put gets bring wants underground yet rushes back save also joined killed tells put getting karuna den find arrive stopped use get rid small makes fall surviving able opens comes goes back shown rightful sucked,fantasy
magic magic 3d,returned united magician died infant never sent basic successful indian take leave forcibly sent new american waking soon runs run away mahesh lude funny meanwhile acharya comes new gets kidnapped indrajeet using,fantasy
yamadonga,young falls raja gaining sympathy gives throws away worthless however always comes back ten later mahi left mahi still enters pretty innocent meanwhile mahi want find goes creates stealing make better contests proposes raja agree fails however yama angrily calls human make human however backfires ends regaining raja back raja suffered fight back cruel forcing become raja gets drunk yama chitragupta disguises chitragupta finds cleverly back soon finds fighting originally killed sends raja soon meet abandoned apologizes said done sympathetic regretfully informs call back close suddenly followed whole revealed blessed saves raja decide live together get married caught,fantasy
gadi no.305 lo devudu,sharing diverse including rajesh unemployed struggling works mahishasuramardhini seemingly ignores even attacked extended unemployed due marrying back particularly bad arrested beaten female paid uncovered also kicked due last vent heavy shocked appears mistaking unemployed back find god waiting waving aside asleep next finally manages true appearing armed super makes spend observing advising truly poor also manages persuade extend undertaken allotted great accidentally arnold true persuaded last santhanam improve true forced lead ordinary yet underprivileged meanwhile find remain highly suspicious ungrateful well start use inflict suffering refused give ultimately rasu rejected later hands back god feel deep becoming successful later various,fantasy
magadheera,taking blurry trying already occupied accidentally touch electric current later feeling destined named called realising stalking take duping meanwhile indu indu trusting however touch warrior slitting prior lusted killed warrior determined find kill meanwhile indu defrauding indu causing leave falling faces past preparing invade warrior udayghad loves bhairava holds bhairava banished udayghad ranadev however secretly requests marry high dying wish widowed shocked publicly marry leaving takes seek sacred brought using nearby leaving true injured tell sher killed rushing arrive shortly sher bhairava boldly accepts hundred severely injured sher impressed however ranadev continues attacking eventually wounding fatally killed dying asks dies falls follows learning rescued named sher solomon udayghad telling revived never revived forever harsha takes bhairavakona asks come however indu revived kill,fantasy
anagananga oka dheerudu,anga allow destroys destroyed takes away traps lives great great lives magical born travelling always smitten local village yodha however sudigundam makes afire entire comes sakthi gain priya takes away priya meanwhile turns however yodha gets saved named irendri take make goes pushpagiri reach irendri make invincible taken sends capture irendri follows priya alive brings back yodha completely trying succeeds,fantasy
ugetsu,farming takes nearby accompanied becoming respected seeking upheaval probable wide asks stop nevertheless works long finish uprooted collects take different appears thick attacked decide go miyagi leave left young clasped back sells well taking promised bei wandered desperate raped visited female several take nobunaga attacked killed lived also learns father seduced lady marry meanwhile found elderly several desperately search stabbed still clutching severed general victorious rewarded later rides new however visits working buy later nakanog throwing genjur tells return loved certain dead exorcised invites buddhist married go servant returned slain knew genjur throws next awakened stealing saying saying burned ago genjur lived burnt burned leave searching delighted let tell terrible holds sleeping eventually lies sleep next surprised see genjur caring come old asks dreaming dead genjur always continues,fantasy
espy,international psychic financed united made clairvoyant international private total human reaching eastern european assassinated geneva international united international baltonian prime next targeted named psychokinetic marked led insidious destroy initiating,fantasy
prophecies of nostradamus,preaching using executed supposed discussing black long passing interrogated imperial japanese continued predicted needed called analyze recent scientific advanced drinking large also leading environmental natural global sends new investigate appeared suddenly goes second find discover last known infested leeches unconscious later turns violently sedated later feasted find original disheartened barely alive forced kill puncturing unleashing polar triggering massive natural civilian turns looting rationing takes several committing nuclear mutated revealed nuclear many explaining japanese prime find akira leave,fantasy
night on the galactic railroad,poor delivering sick contracted unnamed due never free ridiculed making social kindly friend latter never actually seen asks giovanni really giovanni give intentionally answer save even local bully says minded yet come far north arrested supposedly illegal come encouraging occurring however stays brought past returned yet asked repeatedly responds begin long lonely local running away accepts cannot go tired hard lies strange luckily allows noticing wet happened says sure showing drowning otherwise northern see fantastic various including excavating white make crashed possibly titanic suggesting transporting southern get leaving go together forever approaches leaving alone heads discover fallen saved went yet surfaced missing worried already knows prove true gives searching believes drowned stay strong makes strong claiming always together giovanni arrived announcing returning soon deliver,fantasy
vampire hunter d,walking doris deceased attacked lee old lost also known noble intends make new later mysterious known protect younger confronted refuses happened entire including including father english doris local attacked warp highly prejudiced holds return castle next aided left holds monstrous including ensnared captured kidnapped brought using vampiric snake killed overhears gives former bewitching powerful enough weaken taken comes cutting rei fake doris killed requesting appears using real severely weaken overpowered fallen live starts unwilling next confronted killed real weaken allowing kill wooden captured taken lamika human lamika human making instead full blooded also requests give eternal coldly rebuffed mutant left kill takes escaped falls saved fulfilling weaken however powerful weakened bitten appears engages climactic succeeds stabbing noble weakened killing broken uses enact implied legendary ancestral persuade human die escape collapsing clear looks,fantasy
porco rosso,responds airborne successfully defeated airborne porco good long contracting arrogant ambitious american frustrated see successfully executing pirating flying serviced claiming killed actually survives destroyed heavily damaged continues much already worried reminds italy discreetly meet piccolo emigrated elsewhere due great much carried young initially skeptical seeing assist calls female finished unexpectedly joined secret say forced took stopping refuel new beginning thus putting turns saying waiting approach returning ambushed kill destroy successfully curtis appears porco final makes declaring porco owed marry recalling still human entire recalls blacking awakening find complete white allied flown died calls back ignored soon sees flying together skimming turned believes divine fleeing next arranged large betting heavily indecisive soon boxing appears stop italian alerted barely manages win fio requesting takes gives gone porco together sees porco implied shown become human ends fio narrating italian never hunted fio becomes famous continue attend old leave secret hope ever realized familiar red appears soaring disappearing,fantasy
yamato takeru,great convinced yet spoiled shiratori white seeing clear takes later matured given return however long falls ill dies mysteriously sends causing kills furious leave makes complete stopping quick joins raid killing following yamato yet fails warns great looming posed endangering prepare occurring,fantasy
memories,deep distress come orbiting giant get closer opulent european several furnished varying discover famous named disappeared rambaldi continuing split experiencing paranormal including strange dilapidated underbelly cavernous broken playing begins hallucinate suddenly runs kiss finds eva suddenly paralyzed emily disappears eva takes never leave save seduced carlo murdered real forced makes relive nearly join shoots massive embedded causing ai struggling powerful magnetic coming pulling powerful gouging deep enough reach cavern ejected eva hauntingly conjured crushed rose real deceased shown talking romantically exist last seen drifting still alive based technician experimental cold biological already tanaka soon develops deadly walking taking horrified experimental stronger several surrounding killing potent nbc including continues tokyo causing complete japanese military causing poisonous killed japanese military causing immense collateral japanese targeting seeking u observing utilizes japanese take nasa nobuo alive japanese prevent escaping trapping loaded scared disabling leaving unscathed back military makes biological killing walled perpetually depends maintaining firing enormous make nearly equipped varying able huge centered young loader surrounded provoked fired successful moving local visual true even comes talking saying wants exalted simple raid siren blue,fantasy
princess mononoke,attacked last emishi reaches right gives superhuman eventually spread kill discover nago corrupted lodged ashitaka find western came cannot heading west ashitaka original japanese wandering find great giant nearby japanese led led riding san human injured irontown carries many forest irontown built clearcutting produce leading forest asano local social including employed wounded nago also explains raised san irontown knocking unconscious shot curse gives carry san san weakened beautiful takes saves led irontown forest kill forest working intends give according remains cursed irontown find besieged warn annihilated corrupted leading forest san demonic saving san forest decapitates killing kodama comes alive eboshi right evacuated san returning forest rises ashitaka lifted rebuild irontown visit forest build better regrow,fantasy
after life,small social recently deceased processed entering personal single happy experienced new recently deceased social newly dead identified happiest staged filmed recently deceased recreated happiest soon sees takes single takashi assigned old played reviewing married takashi former killed assigned still troubled causing quasi romantic,fantasy
inuyasha the movie: affections touching across time,father defeated powerful chinese named loyal avenge sango kirara maru release becoming stronger staying tree uses possess wearing kiky inadvertently inuyasha pinning sacred ago resists seemingly tells kagome belong well stricken returning present sensing alive unconscious kagome causing back resists giant,fantasy
onmyoji,heian human various still coexisted latter occasionally causing held able subdue paranormal thus held high employed imperial heian onmy mysterious many told seimei demonstrates exceptional killing touching casting later seimei seimei human killed subsequently revived earlier seimei inspecting mysterious growing caused former committed unseen playing unbeknownst sukehime right current worried losing given meanwhile imperial secretly plotting trying awaken vengeful died ago wrongfully accused committed suicide swearing eternal newborn possessed evil drives away immortal ordered sealed away hiromasa unseen calls full still loves put cursing saved unlawful kill imperial implied imperial severely wounded unharmed due taking sukehime turn becoming newborn onmy transform straw thinking real moved earlier loudly breaking recognizing full comes back attached completely allowing comes back kills final human last ordering go back secret swearing finally releases burial vengeful heian foretold go makes imperial stop mortally wounded seimei aone find late resurrect performing fukun chinese dead back ritual go speaking hiromasa sawara hatred first finally moved lover forever passes peacefully afterlife empower using traps magical finally admitting sawara burial sake together seimei crying died reflects said earlier human hiromasa good together,fantasy
poketto monsutā serebii: the meeting that traversed time,named warned named weary forest actually celebi capable pursued injured uses travel forward taking later elderly confronted masked marauder enslave meanwhile spotting legendary encountered many ago depart explain taken local named mr white elderly warned forest former comes find wounded said healing guided wild healed hoping next using called uses immense enormous made forest captured admitting overthrow regaining freed however taking revive fails forest actually magically resurrect appears celebi using crashing confronted towa white angry wild takes sam back promises freed go separate saddened however professor withstand remain however ending perplexed knew sam never mentioned owns sam tracey oak safekeeping,fantasy
spirited away,old traveling new takes wrong unknowingly enter magical exploring begin devour empty exquisite young named warns return however late turned unable flooded becoming trapped finding commanding already soot working send frighten chihiro yubaba gives chihiro takes visiting pigpen finds addressed chihiro already forgotten warns taking forgotten able leave faces began treat lin poorly working silent masked named believing first polluted cleaning gives sen magic emetic dumpling meanwhile swallows begins tipping extensively swarm tipped sen attacking transformed grievously injured follows stowed away twin yubaba creates decoy yubaba tiny sen stolen magic golden carries deadly intended save causing black unconscious apologize sen massive dumpling sen steadily regurgitating eaten sen slaughtered haku revealing missing offering retrieve fails yubaba final love used black appears sen stay zeniba midflight falling washed safely thus revealing real arrive identify break sen given real takes dry restored remember quietly walk back covered getting takes last given drive leave mysterious,fantasy
the cat returns,named quiet shy suppressed dark blue busy lune give offered mixed taken yes wanting female seek muta large white told seek meet given comes much soon meeting forcefully taken leaving human follow treated slowly tan still mainly human make suitable loses become discover true discovered forced helped white tried leave taken haru goes keep long enough remain trapped acting instead planned proposing revealed notorious devoured whole advised go saved yuki giving eating repaid known infamous criminal stands rejects outrightly help eventually escape true come admire young needs open human learning former broken simply anymore,fantasy
inuyasha the movie: the castle beyond the looking glass,seemingly defeat naraku seperated sealed freeing grant eternal released captures kagome united full fledged kagome back revealing faked destroys kaguya appears sucked reverted normal,fantasy
howl's moving castle,young named returning transforms old seeking leaves decides call leads moving howl young appears sophie hired meanwhile sophie neighboring searching missing however howl send tell much fight leaving gives charmed calcifer sophie also draining causing old warns suliman escape former somehow transforming interfere makes difficult return human magically linked parking later bombed suliman protect sophie calcifer collapses realizes douses calcifer separated following charmed past young catch falling give find teleported away returns present reunite reviving freeing stay sophie broken turnip reverts back human revealed missing promptly watching crystal seen flying away seen high new flying,fantasy
